days_left,stock,price,avg_sales,discount,season_demand,supplier_delay,storage_temp,product_age,category,risk
5,182,188,2,36,0.95,1,8,22,4,0
2,61,189,31,37,0.98,6,7,4,4,0
6,118,474,49,1,0.7,1,9,19,5,0
2,153,86,17,37,0.75,6,3,44,2,0
29,199,472,25,21,0.17,9,1,12,3,0
29,86,239,41,0,0.24,0,0,37,2,0
21,137,428,4,4,0.82,4,8,58,5,0
29,137,143,22,3,0.96,0,5,17,4,0
2,137,410,24,38,0.37,1,9,45,3,0
4,154,419,23,41,0.24,6,1,30,1,0
9,37,240,38,2,0.26,0,3,2,2,0
10,93,150,19,5,0.92,5,4,32,4,0
3,135,442,14,41,0.21,0,0,43,3,0
29,64,264,35,29,0.72,0,4,42,4,0
11,46,192,28,20,0.63,1,3,55,3,0
20,160,43,38,0,0.34,0,1,50,4,0
17,167,480,41,1,0.25,0,9,52,2,0
27,120,465,3,45,0.94,4,5,54,5,0
7,21,76,31,11,0.67,5,5,5,5,0
28,125,59,34,31,0.45,5,7,42,1,0
2,100,354,35,9,0.83,8,4,37,5,0
16,77,135,6,12,0.65,4,7,19,2,0
13,74,375,19,39,0.58,1,1,30,1,0
10,190,353,13,4,0.61,1,1,36,5,0
6,176,69,8,42,0.35,0,4,12,2,0
18,68,286,28,22,0.6,8,1,48,2,0
24,159,47,33,46,0.43,7,3,52,5,0
7,10,86,14,1,0.36,1,9,2,3,0
13,22,55,26,24,0.56,5,5,44,3,0
26,125,92,28,15,0.98,7,9,5,5,0
15,13,390,6,36,0.44,0,6,31,1,0
8,135,189,24,26,0.19,9,4,35,1,0
22,134,455,18,33,0.14,1,8,32,5,0
17,140,411,11,12,0.24,9,8,22,5,0
21,197,392,8,36,0.51,1,7,40,5,0
8,52,420,44,40,0.12,1,6,30,3,0
23,87,376,18,9,0.37,7,9,19,5,0
13,117,217,40,14,0.58,7,1,32,5,0
19,43,228,27,35,0.2,9,3,13,3,0
3,76,175,30,1,0.48,8,3,32,3,0
3,191,441,11,12,0.42,8,4,28,5,1
6,63,398,41,24,0.93,7,1,12,2,0
4,133,316,18,39,0.2,3,0,39,2,0
18,120,78,34,21,0.69,4,3,54,5,0
3,102,394,29,21,0.95,3,5,27,1,0
7,18,183,16,40,0.83,8,3,4,4,0
7,14,260,23,45,0.76,1,4,53,3,0
25,18,88,6,42,0.34,8,7,8,1,0
26,197,56,10,24,0.23,4,4,46,3,0
14,79,112,35,15,0.38,7,7,58,3,0
4,162,194,9,0,0.81,6,5,49,4,1
1,176,484,46,31,0.96,9,4,43,2,0
7,24,164,35,23,0.89,9,3,44,1,0
8,131,398,6,20,0.21,2,8,2,2,0
22,198,328,6,3,0.27,9,3,38,3,0
9,52,436,48,3,0.43,4,2,31,4,0
23,163,217,27,23,0.43,7,0,14,1,0
14,107,433,32,33,0.35,3,7,16,3,0
23,120,130,35,40,0.93,3,6,51,5,0
5,132,65,6,30,0.93,6,0,32,4,0
18,145,499,17,18,0.16,8,6,23,5,0
10,174,333,14,0,0.27,3,9,34,2,0
22,64,365,47,32,0.25,7,7,2,5,0
15,129,421,7,41,0.72,9,3,28,3,0
9,150,59,35,14,0.69,8,0,5,4,0
21,33,450,33,9,0.55,7,5,44,4,0
29,15,293,47,0,0.23,8,1,15,1,0
24,166,152,5,43,0.43,7,1,52,4,0
5,141,189,48,34,0.15,7,0,41,2,0
13,32,314,34,37,0.38,6,4,53,2,0
20,83,172,7,28,0.6,4,9,11,2,0
1,31,303,8,33,0.31,2,3,20,3,0
1,115,221,47,8,0.23,8,2,56,1,0
9,16,419,9,20,0.23,9,5,10,3,0
6,16,335,8,8,0.34,1,3,2,2,0
27,25,411,42,17,0.19,4,8,30,2,0
22,134,98,28,1,0.46,9,6,49,3,0
11,164,342,11,48,0.41,4,2,7,3,0
7,64,73,11,46,0.53,9,4,42,4,0
12,189,300,36,13,0.91,8,3,28,2,0
19,136,27,32,0,0.7,0,0,22,3,0
5,89,425,43,4,0.45,1,6,40,4,0
8,76,122,43,27,0.63,7,8,48,3,0
17,42,276,5,25,0.88,5,1,27,3,0
20,61,156,42,49,0.27,1,5,8,1,0
1,56,445,43,20,0.2,2,0,54,5,0
12,76,142,31,3,0.37,6,9,27,3,0
25,68,319,45,29,0.8,6,7,7,2,0
23,96,110,47,38,0.68,3,4,3,5,0
14,176,419,2,17,0.27,7,4,34,1,0
12,125,212,20,14,0.77,3,4,28,4,0
28,98,162,28,28,0.74,4,9,46,4,0
9,53,26,38,6,0.8,2,5,22,5,0
4,112,463,30,47,0.56,2,8,41,1,0
28,18,30,43,23,0.21,7,7,1,3,0
29,46,230,41,15,0.14,2,3,50,1,0
17,197,22,27,2,0.12,6,3,34,1,0
2,81,467,9,10,0.21,7,9,5,4,1
16,40,471,27,7,0.12,9,4,59,1,0
27,111,113,8,22,0.48,3,1,6,4,0
28,101,207,33,7,0.82,7,3,10,2,0
13,136,154,36,17,0.67,0,5,18,5,0
26,21,337,27,46,0.75,6,6,12,1,0
20,35,418,22,42,0.41,1,9,6,3,0
2,156,99,25,24,0.47,3,3,23,3,0
24,51,350,43,3,0.73,8,8,7,5,0
14,73,203,34,44,0.82,1,9,10,2,0
26,188,362,39,39,0.72,3,1,38,3,0
27,117,45,3,11,0.66,7,3,48,2,0
1,50,310,48,30,0.6,3,6,47,1,0
13,105,201,8,49,0.95,4,3,2,2,0
24,164,280,14,24,0.14,7,6,52,5,0
15,45,221,49,45,0.43,7,0,28,5,0
14,36,330,18,17,0.76,3,5,13,5,0
1,145,487,3,48,0.16,9,7,35,3,0
20,78,466,21,18,0.4,1,5,11,2,0
7,65,380,26,35,0.92,3,5,41,3,0
4,166,143,40,6,0.17,1,1,20,1,1
26,159,489,18,20,0.54,7,6,51,3,0
19,37,127,17,45,0.26,6,9,53,2,0
29,53,391,32,26,0.57,0,9,20,5,0
8,114,471,29,42,0.53,1,9,15,2,0
20,149,127,16,1,0.46,2,8,7,1,0
24,142,415,30,42,0.15,0,7,27,1,0
6,107,207,49,4,0.64,4,7,3,1,0
6,196,194,26,3,0.2,7,6,35,5,1
28,29,52,30,46,0.24,3,6,42,2,0
18,162,472,20,12,0.82,4,7,25,4,0
15,43,241,48,49,0.96,3,8,13,2,0
15,106,127,45,46,0.89,7,1,42,2,0
4,32,88,44,45,0.35,3,6,13,2,0
29,124,73,17,39,0.96,1,3,36,4,0
22,27,24,13,39,0.35,0,4,12,2,0
20,88,116,31,11,0.51,3,9,29,4,0
11,191,147,27,28,0.32,4,2,42,1,0
13,106,285,36,36,0.99,6,3,25,1,0
17,95,460,31,35,0.97,1,2,36,3,0
9,151,422,34,39,0.45,0,6,26,5,0
7,31,355,6,42,0.32,8,8,3,4,0
3,25,430,5,35,0.34,0,3,3,4,0
6,104,81,5,33,0.48,5,8,3,2,0
28,153,284,7,6,0.42,3,4,42,3,0
16,18,215,32,9,0.85,6,4,44,1,0
1,179,410,13,26,0.29,1,5,33,4,0
5,137,191,3,4,0.1,3,6,39,1,1
5,132,272,14,22,0.38,9,3,35,5,0
23,92,234,11,20,0.85,9,5,21,1,0
11,192,119,6,14,0.2,8,0,6,5,0
15,17,273,45,18,0.96,4,6,27,2,0
14,49,37,14,41,0.94,2,6,42,3,0
8,133,299,11,7,0.23,5,8,15,3,0
29,53,67,4,27,0.28,3,3,9,2,0
21,163,314,37,22,0.58,9,3,31,1,0
26,169,85,27,20,0.23,6,5,43,4,0
16,95,102,2,37,0.72,9,1,26,3,0
11,38,348,43,39,0.62,3,8,22,5,0
25,181,190,17,43,0.32,7,5,11,4,0
28,127,395,18,30,0.82,8,0,34,4,0
1,103,449,7,19,0.22,7,8,45,5,1
27,27,280,20,1,0.91,1,3,1,2,0
28,117,391,31,2,0.63,6,7,36,3,0
22,73,233,30,24,0.26,1,5,7,1,0
13,168,399,8,29,0.2,0,2,38,2,0
5,196,93,31,2,0.98,9,2,5,4,1
22,20,217,11,27,0.67,8,7,35,2,0
5,125,125,48,37,0.8,5,6,37,4,0
14,194,229,19,9,0.67,2,0,59,5,0
11,61,416,17,26,0.84,8,7,25,5,0
5,82,187,25,21,0.17,3,0,58,5,0
12,104,345,26,20,0.15,1,0,19,5,0
16,29,55,18,48,0.15,8,8,24,4,0
1,57,89,17,16,0.58,5,3,14,3,1
24,177,409,33,17,0.82,6,1,40,4,0
13,68,370,16,31,0.18,6,7,31,1,0
20,198,178,44,22,0.63,4,1,36,2,0
17,128,393,42,40,0.12,1,1,5,4,0
22,135,151,38,40,0.53,0,4,41,5,0
26,166,359,26,6,0.78,8,9,57,4,0
3,184,148,47,34,0.52,6,0,29,1,0
7,128,129,13,48,0.31,3,3,55,4,0
11,73,126,2,47,0.93,0,5,48,5,0
8,22,166,2,29,0.12,4,7,18,3,0
22,72,489,2,0,0.82,0,5,41,1,0
6,20,103,29,24,0.58,0,6,28,3,0
1,143,232,18,22,0.88,3,4,29,5,0
19,174,24,39,29,0.85,9,8,37,4,0
27,46,218,24,45,0.47,2,4,36,4,0
22,28,396,5,42,0.74,7,1,55,5,0
3,53,407,4,15,0.72,5,5,55,4,1
24,131,352,29,16,0.12,5,3,33,4,0
10,116,397,42,49,0.81,0,0,37,1,0
17,181,249,31,11,0.98,2,7,21,1,0
5,16,238,28,19,0.14,6,1,50,1,0
5,83,331,24,42,0.49,3,1,49,3,0
28,82,418,28,35,0.8,0,6,34,3,0
1,179,452,47,2,0.46,1,0,29,3,1
3,143,209,43,20,0.12,4,7,27,1,0
14,197,94,39,26,0.85,8,1,29,2,0
4,143,310,2,15,0.57,4,9,45,3,1
24,165,104,29,10,0.97,1,7,6,1,0
19,111,210,26,0,0.85,4,0,22,5,0
14,60,385,20,21,0.9,5,1,23,4,0
23,79,191,14,0,0.97,2,1,8,5,0
21,71,307,10,27,0.87,3,4,25,1,0
17,147,32,39,12,0.66,5,7,35,3,0
19,123,179,16,4,0.3,1,0,28,5,0
16,60,210,3,12,0.19,6,3,47,5,0
8,180,434,40,41,0.71,3,5,51,4,0
24,26,395,16,0,0.12,7,1,33,4,0
28,76,159,42,17,0.58,5,1,42,1,0
21,145,36,25,29,0.86,4,1,46,4,0
27,115,446,16,43,0.28,5,2,2,3,0
19,134,335,43,31,0.49,2,3,54,4,0
1,32,454,26,32,0.51,4,3,19,5,0
17,34,66,17,44,0.69,7,8,47,1,0
29,115,393,7,29,0.52,8,0,40,4,0
23,149,122,41,39,0.23,2,8,21,5,0
27,85,345,47,37,0.34,4,1,7,4,0
1,197,69,31,27,0.69,7,6,57,2,0
28,152,345,45,46,0.42,2,1,57,2,0
13,163,349,40,33,0.94,8,5,51,3,0
5,95,324,40,31,0.5,0,3,18,1,0
13,72,396,9,47,0.78,6,6,40,1,0
27,63,141,35,35,0.56,2,0,29,5,0
27,27,460,14,27,0.33,5,5,15,5,0
3,128,425,5,36,0.17,2,8,42,3,0
7,61,235,4,27,0.54,4,5,48,4,0
17,143,31,41,0,0.32,9,9,21,5,0
10,179,280,47,16,0.21,3,5,43,3,0
21,131,50,16,33,0.4,7,0,36,4,0
17,44,320,26,34,0.79,6,7,24,4,0
12,116,52,35,3,0.47,4,4,13,5,0
6,196,326,31,0,0.52,2,7,26,4,1
17,178,93,18,23,0.94,1,5,48,3,0
8,11,499,22,23,0.73,6,2,16,2,0
27,192,148,39,47,0.95,0,0,52,2,0
16,154,490,33,5,0.8,9,3,52,2,0
7,177,345,35,42,0.64,2,5,20,3,0
16,121,212,31,31,0.69,7,2,37,1,0
26,165,329,28,19,0.99,5,6,43,2,0
22,31,303,44,33,0.28,2,1,58,3,0
29,88,303,46,41,0.66,3,0,25,1,0
7,110,257,5,28,0.5,9,9,11,4,0
17,42,498,39,19,0.34,5,6,20,4,0
28,171,241,20,4,0.5,8,8,26,2,0
25,114,41,35,45,0.99,6,8,59,3,0
22,111,205,23,3,0.25,8,4,43,2,0
14,138,126,19,33,0.63,7,3,7,1,0
17,125,201,45,25,0.69,5,1,33,3,0
24,190,479,21,47,0.58,1,4,12,3,0
18,187,386,31,36,0.94,3,5,6,4,0
16,83,228,36,30,0.33,1,7,53,2,0
27,34,177,29,9,0.16,1,8,4,4,0
23,143,25,41,14,0.32,5,7,34,1,0
7,89,470,14,21,0.11,0,6,59,1,0
13,56,43,7,9,0.64,8,6,40,5,0
28,45,403,23,47,0.46,7,6,8,1,0
13,180,329,21,45,0.38,2,9,5,5,0
11,50,423,3,39,0.8,9,9,37,5,0
2,124,309,26,38,0.89,1,4,38,3,0
10,59,38,16,41,0.62,5,5,20,4,0
10,47,177,49,33,0.1,9,2,46,5,0
20,48,232,41,33,0.71,2,4,15,2,0
12,100,488,16,29,0.45,9,4,22,5,0
4,58,238,35,16,0.57,2,9,59,4,0
2,54,400,47,45,0.3,1,1,23,4,0
3,56,195,11,15,0.7,9,7,51,3,1
14,124,440,7,31,0.2,5,1,46,3,0
25,163,454,21,22,0.28,6,5,59,4,0
1,122,362,21,25,0.43,4,8,39,4,0
15,159,261,20,20,0.96,4,0,57,1,0
4,63,268,3,14,0.25,8,4,18,5,1
21,182,63,43,41,0.76,1,8,52,3,0
27,136,214,49,30,0.18,8,5,50,1,0
17,31,31,34,13,0.66,6,4,46,4,0
18,132,331,10,41,0.8,0,0,6,1,0
23,96,455,21,7,0.34,3,1,56,4,0
1,122,55,39,4,0.21,4,9,16,3,1
22,61,489,47,10,0.39,7,2,17,3,0
27,187,273,45,21,0.75,7,8,31,5,0
8,97,259,12,13,0.47,7,2,30,2,0
18,178,248,14,31,0.53,8,0,55,2,0
25,73,89,46,1,0.5,8,1,50,3,0
21,62,230,24,49,0.82,7,7,18,1,0
6,88,260,24,46,0.99,9,2,37,5,0
15,78,342,28,46,0.78,0,7,17,2,0
13,174,321,7,14,0.54,0,2,6,2,0
22,154,229,17,6,0.66,0,4,54,2,0
19,17,186,37,24,0.87,9,0,52,3,0
11,151,344,20,20,0.63,4,2,33,3,0
13,52,82,2,47,0.99,9,3,28,2,0
27,11,219,48,21,0.16,7,2,18,2,0
14,46,21,39,47,0.82,4,1,22,4,0
2,195,195,48,42,0.37,7,0,14,5,0
14,119,63,4,45,0.96,5,2,14,4,0
1,187,301,17,30,0.12,3,6,48,1,0
26,180,28,28,42,0.55,9,6,57,3,0
1,165,234,49,47,0.52,3,8,8,1,0
2,52,259,25,8,0.4,1,1,31,5,0
13,126,247,11,8,0.27,1,7,25,5,0
2,126,106,23,18,0.14,6,2,14,2,1
26,64,365,18,31,0.61,5,1,4,1,0
11,55,450,21,36,0.63,4,3,33,5,0
14,15,274,23,42,0.78,9,0,51,3,0
4,110,243,23,45,0.52,9,8,44,1,0
23,184,291,38,43,0.12,7,9,17,3,0
1,165,128,12,19,0.74,9,2,38,5,1
27,198,221,40,13,0.72,5,2,44,3,0
12,174,481,29,31,0.98,2,9,12,2,0
6,53,42,28,46,0.45,1,7,47,3,0
9,36,269,4,18,0.4,2,7,19,1,0
27,15,374,8,40,0.2,3,4,4,5,0
18,83,212,14,49,0.73,2,6,11,1,0
19,89,44,8,5,0.3,7,8,34,2,0
24,104,23,48,41,0.63,7,0,43,4,0
20,192,106,19,14,0.88,3,5,54,4,0
19,65,431,33,42,0.6,3,6,2,5,0
19,13,22,35,8,0.66,3,3,41,4,0
28,50,80,42,20,0.16,2,4,9,3,0
24,28,80,34,29,0.71,2,7,35,2,0
8,108,239,29,15,0.58,7,1,35,3,0
3,124,156,29,18,0.5,9,0,26,5,1
28,59,485,43,22,0.27,4,0,43,3,0
28,71,387,42,23,0.59,8,6,43,1,0
12,168,239,24,23,0.76,1,5,18,4,0
7,156,34,42,9,0.62,2,6,8,1,0
11,158,319,35,21,0.4,4,5,29,1,0
6,29,195,39,14,0.25,3,1,6,4,0
26,49,132,12,4,0.33,2,8,46,2,0
14,62,242,47,42,0.32,0,1,1,1,0
14,77,405,3,23,0.28,2,2,52,5,0
12,111,63,27,47,0.2,3,4,59,2,0
11,193,352,12,11,0.67,1,2,5,1,0
27,51,174,33,39,0.82,7,3,23,5,0
14,11,489,18,28,0.14,0,9,51,4,0
28,58,37,16,47,0.85,7,5,36,2,0
17,156,486,30,45,0.39,3,9,39,5,0
26,100,32,2,39,0.82,0,5,59,2,0
8,180,416,28,48,0.62,4,2,25,1,0
16,133,191,40,43,0.82,7,8,26,2,0
14,135,69,8,7,0.3,6,3,1,3,0
2,155,430,4,5,0.62,3,6,1,5,1
8,67,320,7,25,0.4,6,5,54,4,0
24,111,39,2,0,0.84,1,5,22,2,0
10,23,463,12,17,0.9,2,6,52,4,0
12,40,425,17,42,0.41,8,4,42,3,0
24,124,146,1,24,0.89,1,5,30,1,0
7,123,353,25,40,0.44,7,0,48,2,0
25,53,214,28,43,0.65,7,5,45,4,0
19,185,497,30,25,0.85,8,7,1,3,0
20,170,239,29,33,0.88,3,0,39,1,0
28,72,362,13,3,0.65,9,4,36,1,0
13,74,119,49,25,0.25,4,6,52,2,0
19,28,290,11,5,0.27,2,4,38,5,0
15,107,83,17,14,0.67,2,4,51,2,0
18,18,326,4,10,0.89,1,3,9,2,0
11,162,169,42,2,0.74,6,4,30,2,0
27,105,136,28,5,0.7,8,9,43,2,0
7,154,171,24,47,0.64,0,4,55,2,0
5,191,446,12,20,0.57,9,0,15,1,0
19,95,202,9,29,0.13,5,8,52,2,0
5,77,360,38,8,0.32,8,6,22,1,0
11,173,484,12,31,0.78,8,0,48,3,0
27,174,319,6,39,0.53,6,4,52,1,0
16,119,95,1,3,0.75,9,1,9,1,0
21,29,285,19,40,0.24,8,3,5,3,0
12,131,34,17,38,0.25,7,0,25,5,0
18,194,209,38,16,0.36,1,8,2,5,0
17,118,277,45,36,0.92,7,6,56,3,0
27,82,284,3,15,0.79,8,0,24,3,0
20,146,428,10,15,0.74,7,6,23,1,0
8,187,362,25,47,0.27,5,0,5,5,0
28,45,233,49,39,0.42,8,8,58,1,0
27,130,379,11,0,0.33,9,5,40,4,0
19,72,233,18,3,0.57,9,1,46,4,0
23,135,252,3,40,0.84,4,6,4,2,0
7,196,82,43,32,0.5,3,6,45,1,0
5,50,324,5,38,0.31,0,3,43,5,0
5,121,465,9,5,0.58,9,3,37,1,1
6,26,312,26,31,0.61,0,6,26,1,0
22,179,36,20,9,0.75,0,9,1,5,0
4,186,279,47,10,0.83,7,2,10,1,1
20,67,176,28,2,0.72,1,6,9,2,0
10,119,425,15,47,0.59,2,1,32,1,0
22,178,399,16,49,0.82,2,8,11,4,0
22,152,422,36,21,0.26,2,9,42,3,0
2,149,291,44,3,0.81,1,6,54,3,1
14,73,283,7,14,0.46,4,5,38,5,0
24,96,275,44,43,0.8,3,7,56,4,0
25,123,140,1,9,0.9,1,9,34,1,0
18,159,114,43,37,0.81,7,0,44,5,0
26,94,126,25,14,0.32,9,3,45,5,0
10,65,140,40,0,0.95,2,4,11,5,0
8,172,144,20,21,0.91,4,1,44,3,0
26,122,322,25,8,0.38,7,7,54,3,0
16,140,137,35,8,0.54,6,7,33,5,0
25,173,96,21,31,0.68,1,2,40,5,0
11,99,33,35,14,0.21,0,9,15,5,0
17,122,81,18,15,0.37,3,0,41,2,0
7,77,385,5,12,0.94,7,2,31,4,0
1,143,40,32,7,0.67,3,5,53,2,1
12,194,47,10,4,0.72,8,6,51,5,0
1,66,95,14,14,0.25,7,0,25,1,1
18,123,330,45,18,0.91,9,2,28,3,0
26,105,197,9,28,0.6,7,0,21,5,0
3,21,347,31,46,0.85,5,2,52,1,0
16,15,371,14,18,0.52,7,4,2,2,0
22,141,350,48,38,0.21,2,8,19,3,0
2,190,75,31,29,0.91,0,1,51,5,0
17,54,79,25,16,0.61,5,2,55,3,0
10,190,248,32,36,0.5,9,6,47,1,0
27,80,128,39,47,0.7,5,8,36,2,0
6,173,477,48,27,0.11,7,1,24,4,0
25,75,61,33,16,0.87,7,1,40,3,0
24,84,363,40,46,0.81,0,5,59,1,0
5,163,449,9,6,0.47,5,8,26,4,1
5,22,122,25,49,0.36,4,5,57,2,0
16,105,381,17,25,0.83,4,0,58,4,0
10,145,82,25,40,0.31,1,9,27,3,0
12,109,403,11,7,0.72,8,2,55,4,0
23,128,207,41,26,0.62,1,5,28,4,0
21,130,239,31,36,0.54,1,5,35,3,0
15,136,294,28,24,0.72,0,2,47,1,0
17,127,132,49,11,0.52,8,4,33,2,0
4,21,482,38,39,0.57,3,8,39,1,0
24,77,392,17,22,0.41,5,4,56,5,0
22,173,291,30,10,0.98,4,3,12,5,0
19,92,399,40,36,0.72,6,9,45,1,0
25,135,47,11,28,0.42,7,5,53,3,0
9,17,350,5,6,0.38,9,8,21,2,0
3,143,347,2,17,1.0,6,4,37,3,1
23,53,415,46,8,0.2,3,3,53,5,0
5,96,72,43,34,0.5,5,0,55,4,0
14,155,262,12,23,0.88,3,0,6,3,0
14,29,154,1,5,0.48,2,6,52,4,0
19,96,372,47,24,0.81,4,7,31,3,0
25,13,84,21,17,0.2,9,0,34,1,0
4,76,498,26,21,0.83,6,5,46,5,0
11,55,384,49,13,0.71,4,5,27,3,0
27,103,467,31,35,0.25,8,9,40,3,0
6,99,336,23,37,0.21,3,3,16,1,0
3,56,134,44,14,0.42,6,6,50,5,0
7,128,184,23,38,0.21,3,8,42,4,0
6,11,219,34,28,0.99,9,4,29,5,0
21,193,227,12,47,0.88,9,7,32,4,0
2,112,212,46,20,0.54,9,5,2,2,0
20,184,191,27,37,0.95,9,4,35,1,0
7,135,244,28,42,0.2,3,0,30,2,0
3,76,253,16,3,0.17,5,8,45,4,1
19,104,264,1,47,0.25,9,7,53,3,0
20,188,119,10,28,0.62,7,3,10,1,0
9,86,315,45,23,0.22,8,1,14,3,0
26,58,121,32,35,0.85,8,6,11,1,0
25,96,455,8,17,0.49,5,9,18,3,0
11,142,475,49,27,0.15,7,0,13,1,0
16,24,425,36,4,0.45,8,6,4,3,0
18,183,489,37,48,0.88,8,7,38,4,0
3,40,68,49,12,0.5,5,6,12,2,0
26,193,189,25,36,0.71,7,3,2,3,0
16,179,410,38,8,0.25,0,9,59,2,0
17,173,77,35,15,0.32,4,0,28,2,0
8,165,118,17,45,0.5,8,4,7,3,0
7,157,43,6,46,0.99,3,0,15,4,0
23,110,339,20,20,0.56,8,7,39,1,0
13,32,240,36,27,0.33,6,4,42,2,0
3,164,336,49,15,0.45,4,3,46,4,1
6,33,164,4,44,0.22,0,6,19,1,0
2,26,392,7,40,0.94,5,1,45,3,0
29,152,432,6,10,0.16,2,2,40,5,0
5,19,277,18,6,0.78,7,6,55,5,0
16,122,317,9,33,0.9,2,3,36,4,0
25,76,270,30,19,0.41,3,3,14,3,0
21,166,110,25,5,0.44,3,4,36,4,0
21,72,132,30,44,0.9,5,0,32,1,0
21,102,71,36,9,0.5,7,7,8,4,0
24,178,290,12,23,0.65,5,9,52,2,0
5,31,300,17,35,0.85,3,4,37,4,0
25,35,97,12,0,0.24,2,4,34,2,0
22,71,79,27,32,0.89,3,4,30,4,0
28,15,152,15,36,0.7,4,3,36,2,0
27,52,290,29,40,0.46,3,2,34,2,0
24,135,484,47,4,0.92,3,0,33,1,0
7,184,346,38,41,0.32,1,1,6,2,0
10,63,375,41,25,0.4,9,7,11,5,0
27,126,237,35,28,0.72,1,1,2,3,0
18,132,67,8,6,0.8,6,0,9,5,0
20,63,308,28,30,0.11,6,4,39,3,0
3,175,357,30,9,0.56,4,7,35,2,1
4,91,137,8,48,0.39,8,5,50,3,0
11,186,342,23,10,0.24,6,4,49,5,0
22,144,470,19,34,0.37,5,9,29,4,0
13,69,345,41,3,0.85,8,0,36,3,0
5,153,90,6,23,0.67,5,6,18,3,0
15,51,188,39,42,0.27,2,0,26,1,0
25,25,445,32,36,0.87,7,7,5,3,0
26,26,401,29,27,0.21,1,7,53,2,0
23,147,112,13,21,0.93,1,6,12,4,0
20,173,141,36,48,0.84,0,3,49,3,0
10,189,234,47,7,0.29,2,4,47,4,0
15,38,330,25,34,0.85,0,4,49,3,0
11,180,325,14,3,0.91,2,6,13,1,0
19,144,25,36,8,0.36,1,3,18,5,0
25,99,95,43,20,0.9,0,6,22,4,0
23,84,219,17,4,0.43,9,3,28,3,0
22,114,193,46,8,0.52,8,4,36,1,0
18,26,202,5,20,0.42,9,4,23,3,0
5,83,50,26,25,0.53,0,1,48,3,0
23,49,240,16,29,0.2,2,0,31,4,0
29,156,108,4,35,0.77,5,3,16,3,0
3,74,215,46,7,0.57,3,3,26,3,0
27,185,419,33,2,0.99,9,9,8,2,0
6,60,260,26,2,0.73,5,2,47,2,0
10,73,367,48,49,0.91,6,2,53,1,0
21,51,85,19,3,0.47,1,6,40,3,0
14,170,384,20,2,0.12,2,1,27,4,0
7,76,458,47,41,0.34,5,0,14,2,0
25,79,328,14,48,0.27,5,9,29,2,0
20,120,41,8,22,0.86,4,5,54,3,0
2,180,138,30,35,0.47,3,8,45,4,0
8,170,137,4,14,0.23,7,3,27,5,0
15,93,204,15,41,0.83,7,4,51,4,0
5,165,87,49,32,0.48,0,7,6,2,0
13,11,291,49,30,0.88,3,5,49,4,0
22,33,280,38,31,0.94,5,3,50,4,0
15,36,259,34,37,0.76,4,9,31,4,0
16,39,90,8,25,0.18,8,1,50,5,0
23,44,388,13,4,0.12,6,3,32,2,0
29,173,158,29,31,0.4,6,7,33,1,0
25,90,221,36,37,0.84,4,9,14,5,0
9,96,400,46,47,0.65,5,1,24,4,0
20,101,123,35,21,0.47,2,9,44,2,0
10,108,466,42,3,0.76,0,2,52,4,0
